,year,author,title,journal,keyword,keyplus,abstract,core_count,cited_count,area
749,2019,"Schwarzova, P; Litschmannova, M",THE EVALUATION OF ALTERNATIVE FINANCIAL RESOURCES OF SECONDARY EDUCATION IN THE MORAVIAN-SILESIAN REGION,22ND INTERNATIONAL COLLOQUIUM ON REGIONAL SCIENCES,education; Moravian-Silesian region; financial resources,EXPENDITURES; EFFICIENCY,"The contribution deals with public and non-public financial resources of secondary education. It focuses on alternative financial resources, such as rental of buildings and sport fields, other complementary activities, donations, grants from other subjects, the programme Excelence, support of gifted students and European programmes (Operational Programme Research, Development and Education and programme Erasmus+). The Moravian-Silesian grammar schools are compared on the basis of average incomes in 2015-2017. The aim is to evaluate gaining of alternative resources by analyzed grammar schools established by the Moravian-Silesian. The research method is cluster analysis. The schools were divided into four clusters by results. The first three clusters are equal in number; the fourth cluster is atypical, containing one school, Gymnazium a SOS Rpmatov. This school shows extremely high values in incomes from other complementary activities and the lowest incomes from the programme Excelence. In terms of given criteria, the low numbers are shown with Erasmus+, which is caused by higher number of not involved schools. The research shows that none of the schools reaches extremely high incomes comparing to other schools in the most criteria. This could mean the impossibility, for any subject to focus on all firms of gaining alternative resources.",1,1,Business & Economics
750,2018,"Samigulov, GK","YASAK PEOPLE, FOREIGNERS, YASAK AND EXCHANGE OF GIFTS PRACTICAL THINKING ABOUT A THEORY",ZOLOTOORDYNSKOE OBOZRENIE-GOLDEN HORDE REVIEW,yasak people; social structure; votchina land; positions and estates; podat'; state; allegiance,,"Objective: The study concerns controversial issues of Russian history related to yasak people from the end of the 16th century to the middle of the18th century. Materials: During the investigation, the author used newly discovered archival documents as well as previous publications. Results and novelty of the research: It has been established that the term foreigners in the administrational documentation of the Muscovy in 16th-18th centuries indicated the yasak people from the river Volga to Eastern Siberia. The yasak for traditional yasak people signified a state duty (a tax) and yasak people had a votchina right on the yasak land. Yasak people can be preliminarily divided into three categories: 1. Yasak people in the Volga area. They were very similar to state peasants in an economic sense and the yasak was merely a vestige for them. Nevertheless, they preserved votchina rights on honey, lands and the hunting of beaver. 2. Ural, Western and Southern Siberian yasak people - hunters, fishers or pastoralists. For them, the yasak was basic type of the state tax corresponding to their local economies. Yasak traditions stemmed from period when these peoples were in sphere of influence or vassalage of post-Golden Horde states. The votchina rights of these peoples covered all over their territory. 3. North and Northeast Siberian populations who did not have advanced social structure and had never paid tax earlier. Any taxes were unclear to that population which is why the state formulated relations with them in understandable form - as an exchange of gifts. Thus, yasak populations were not all the same, and relations between the state and different groups were created along the lines of different schemes. At the same time, the yasak people formed a part of the social structure of the Russian state. An exception to the rule were some peoples in northern and northeast Siberia, where the situation must be considered separately for every clan/tribal group.",1,1,History
751,1998,"Ambrose, D",A model for clarification and expansion of conceptual foundations,GIFTED CHILD QUARTERLY,,DEVELOPMENTAL THEORY; CREATIVITY; SCIENCE,"Practitioners, researchers, and theorists can establish stronger rationale and direction for their work through better understanding of the conceptual foundations that influence the field of education of the gifted. Navigation along three interpretive dimensions can clarify and expand these conceptual foundations, which currently suffer from fragmentation and insularity. One of these dimensions invites movement through several different world views Another dimension invites interdisciplinary movement from the precision of the hard sciences to the uncertain complexity of the soft and human sciences. A third dimension promotes movement through different levels of analysis, ranging from panoramic levels of philosophical and theoretical perspectives to the grounded levels of empirical research and practical application. A three-dimensional model illustrates the dynamics of these movements while highlighting some barriers that cause fragmentation and insularity in conceptual foundations. Recommendations for breaking through these barriers are provided.",15,15,Education & Educational Research; Psychology
752,2021,"Gosdin, L; Amoaful, EF; Sharma, D; Sharma, AJ; Addo, OY; Ashigbi, X; Mumuni, B; Situma, R; Ramakrishnan, U; Martorell, R; Jefferds, ME",A Qualitative Analysis of Program Fidelity and Perspectives of Educators and Parents after Two Years of the Girls' Iron-Folate Tablet Supplementation (GIFTS) Program in Ghanaian Secondary Schools,CURRENT DEVELOPMENTS IN NUTRITION,supplementation in schools; anemia prevention; program fidelity; acceptability; adolescent nutrition,NUTRITION; ANEMIA,"Background: To address the burden of anemia in adolescent girls in Ghana, the Girls' Iron-Folate Tablet Supplementation (GIFTS) program was established in 2017. An evaluation found that although iron and folic acid (IFA) supplementation reached nearly all adolescent girls in schools during year 1, most girls received fewer than the minimum effective number of tablets over the school year. Barrier analyses highlighted schools as drivers of adherence, though information was incomplete on the reasons for the disparities among schools. Information was also lacking on the implementation of health and nutrition education. Objectives: At the start of year 3 of an integrated adolescent anemia prevention program with IFA supplementation, the present study sought to illuminate differences in program fidelity among schools and across time and potential factors that drive such differences. Methods: After stratifying by school level, size, geographic location, and intake adherence during year 1, 16 schools were purposively selected. For each school, semistructured key informant interviews were conducted with 1 coordinator at the district level, 3 educators at the school level, and 1 parent leader. Following thematic analysis methods, recorded and transcribed interviews were coded and organized into deductive and inductive themes. Results: Limited training, challenges during distribution of IFA, lack of incentives, and inconsistent health and nutrition education diminished program fidelity. Strong supply chain, widespread awareness promotion, improved acceptability, and intrinsically motivated educators improved program fidelity. After 2 y of implementation, schools had made program adaptations, and widespread changes in attitudes and beliefs about the IFA tablets had improved their acceptability. However, limitations remained related to supply chain, program ownership, communication between health and education sectors, training, motivation, and resources. Conclusions: The fidelity of Ghana's GIFTS program is strengthened by its supply chain, acceptability, and motivated stakeholders; however, training, curricula, clear communication, and incentives could improve it.",2,2,Nutrition & Dietetics
753,2023,"Maker, CJ; Pease, R; Zimmerman, R","Identifying and Cultivating Innovators and Increasing Diversity in Science, Technology, Engineering, and Mathematics (STEM): A Needed Paradigm Shift",ROEPER REVIEW-A JOURNAL ON GIFTED EDUCATION,creative problem solving; paradigm shift; STEM; talent development; talent identification; underrepresentation,GIFTED EDUCATION; SPATIAL ABILITY; INTELLIGENCE; TALENT; CREATIVITY; THINKING; IDENTIFICATION; RETHINKING; GENERALITY; EXPANSION,"Although writers have advocated a shift from the gifted child to a talent development paradigm, changes in methods for identifying and cultivating talent in STEM are needed. We present evidence that using a talent development paradigm supported by differentiation with an organicist rather than a mechanistic perspective was effective in identifying and cultivating potential innovators in STEM while also increasing the diversity of students identified. Exceptional talent was defined as having three components integrating the constructs of intelligence and creativity: (a) solving complex problems, (b) solving varied types of problems, and (c) having a complex and integrated knowledge structure in the domains assessed. Practices consistent with the talent development and differentiation paradigms include using measures of problem solving in different domains to create profiles and providing programs to engage all students in solving real-world problems.",0,0,Education & Educational Research
754,2013,"De Corte, E",Giftedness considered from the perspective of research on learning and instruction,HIGH ABILITY STUDIES,adaptive competence; constructive; self-regulated; situated and collaborative learning; powerful learning environments; gifted education; high ability students,CLASSROOM; TIME,"This article argues that research and educational practices relating to gifted students can highly benefit by linking up more closely with the mainstream of research on learning and instruction. The CLIA-model for the design of powerful learning environments that consists of four interconnected components (Competence, Learning, Intervention, and Assessment) is thereby used as a framework. The kind of learning processes needed to acquire adaptive competence are well in tune with features of exceptional performance, namely active, constructive, self-regulated and goal-oriented learning. Therefore gifted students should be taught in powerful learning environments that induce in them learning processes that embody those characteristics. Interventions focused on gifted students such as acceleration, grouping and differentiated instruction can benefit from taking into account the components and characteristics of the CLIA-model.",12,12,Education & Educational Research; Psychology
755,2018,"Beckmann, E; Minnaert, A",Non-cognitive Characteristics of Gifted Students With Learning Disabilities: An In-depth Systematic Review,FRONTIERS IN PSYCHOLOGY,twice-exceptional; learning disabilities; giftedness; non-cognitive; potential,TWICE-EXCEPTIONAL LEARNERS; DISABLED STUDENTS; CHILDREN; NEEDS; IDENTIFICATION; ABILITY; METACOGNITION; PERSPECTIVES; RESILIENCE; ADJUSTMENT,"Gifted students who also have learning disabilities (G/LD) are often overlooked when students are assessed either for giftedness or specific learning disabilities. The cognitive and non-cognitive characteristics of these G/LD students are habitually discussed only briefly alongside identification and intervention issues and, beyond that, the relevance of non-cognitive characteristics is often left unconsidered. Accordingly, this study aims to conduct an in-depth review of the non-cognitive characteristics of these students for identification and intervention purposes. Detailed analysis was performed on 23 publications. High levels of negative emotions, low self-perception, and adverse interpersonal relationships, as well as high levels of motivation, coping skills and perseverance were found among these students. A common characteristic was a high degree of frustration with the academic situation. The study reveals that these students show considerably duality in their non-cognitive characteristics which requires tailored counseling skills to provide effective support for their learning needs.",19,22,Psychology
756,2014,"Waisman, I; Leikin, M; Shaul, S; Leikin, R",BRAIN ACTIVITY ASSOCIATED WITH TRANSLATION BETWEEN GRAPHICAL AND SYMBOLIC REPRESENTATIONS OF FUNCTIONS IN GENERALLY GIFTED AND EXCELLING IN MATHEMATICS ADOLESCENTS,INTERNATIONAL JOURNAL OF SCIENCE AND MATHEMATICS EDUCATION,event-related potentials (ERP); excellence in mathematics; functions; giftedness; graphical and symbolic representations,NEUROSCIENCE; POTENTIALS; P300; WORD; ERP,"In this study, we examine the impact and the interplay of general giftedness (G) and excellence in mathematics (EM) on high school students' mathematical performance associated with translations from graphical to symbolic representations of functions, as reflected in cortical electrical activity (by means of ERP-event-related potentials-methodology). We report on findings of comparative data analysis based on 75 right-handed male high school students (16 -aEuro parts per thousand 18 years old) divided into four research groups designed by a combination of EM and G factors. Effects of EM factor appeared at the behavioral and electrophysiological levels. The fifth group of participants included 9 students with extraordinary mathematical abilities (S-MG: super mathematically gifted). We found that in EM participants, the G factor has no impact on the performance associated with translation between representations of the functions. The highest overall electrical activity is found in excelling in mathematics students who are not identified as generally gifted (NG-EM students). This increased electrical activity can be an indicator of increased cognitive load in this group of students. We identified accumulative and unique characteristics of S-MG at the behavioral and electrophysiological levels. We explain the findings by the nature of the tasks used in the study. We argue that a combination of the ERP techniques along with more traditional educational research methods enables obtaining reliable measures on the mental processing involved in learning mathematics and mathematical problem solving.",15,15,Education & Educational Research
757,2018,"Lee, CW; Ritchotte, JA",Seeing and Supporting Twice-Exceptional Learners,EDUCATIONAL FORUM,Disabilities; gifted and talented; professional development; twice-exceptional,AUTISM SPECTRUM DISORDER; GIFTED STUDENTS; LEARNING-DISABILITIES; SCHOOL-PSYCHOLOGISTS; STRATEGIES; STRENGTHS; CHILDREN; TEACHER; ERA,"Through a four-part discussion, this essay advocates for seeing the characteristics and special needs of gifted students with disabilities and using best practices to support their learning. Part 1 delineates the evolution of the legislative acts and professional initiatives regarding twice exceptionality. Part 2 discusses the educational rights of twice-exceptional learners. Part 3 presents challenges to understanding and supporting this student population, followed by a call for ongoing personnel training in part 4.",3,3,Education & Educational Research
758,2017,"Zhang, L; Gan, JQ; Wang, HX",Neurocognitive mechanisms of mathematical giftedness: A literature review,APPLIED NEUROPSYCHOLOGY-CHILD,EEG; fMRI; mathematically gifted children; adolescents; neurocognitive mechanism,RIGHT-HEMISPHERE INVOLVEMENT; SEX-DIFFERENCES; PREFRONTAL CORTEX; COGNITIVE CONTROL; EEG ALPHA; REASONING ABILITY; NEURAL BASIS; P-FIT; INTELLIGENCE; BRAIN,"Mathematically gifted children/adolescents have demonstrated exceptional abilities and traits in logical reasoning, mental imagery, and creative thinking. In the field of cognitive neuroscience, the past studies on mathematically gifted brains have concentrated on investigating event-related brain activation regions, cerebral laterality of cognitive functions, functional specialization that is uniquely dedicated for specific cognitive purposes, and functional interactions among discrete brain regions. From structural and functional perspectives, these studies have witnessed both general and unique neural characteristics of mathematically gifted brains. In this article, the theoretical background, empirical studies, and neurocognitive mechanisms of mathematically gifted children/adolescents are reviewed. Based on the integration of the findings, some potential directions for the future research are identified and discussed.",18,18,Neurosciences & Neurology; Psychology
759,1998,"Willard-Holt, C",Academic and personality characteristics of gifted students with cerebral palsy: A multiple Cease study,EXCEPTIONAL CHILDREN,,,"Using a qualitative cross-case methodology over 3 years, I investigated the ways in which gifted students with cerebral palsy and no speech indicated their cognitive abilities. Data collection method included participant observation, interviewing, document analysis, audiotaping, and videotaping, and data were analyzed using analytic induction, constant comparison, diagramming, and cross-case analysis. The participants demonstrated several academic characteristics of giftedness, some of which were modified by effects of the disability Personality traits which often accompany giftedness were manifested: maturity, goal orientation, persistence/determination, and patience. Giftedness was also apparent in ways which were related to the disability: recognition of limitations at a mature level, desire for independence from human aides and technological devices, and use of the intellect to circumvent the disability.",9,10,Education & Educational Research; Rehabilitation
760,2009,"Bae, S",Chaos: a topic for interdisciplinary education in physics,EUROPEAN JOURNAL OF PHYSICS,,CHESS; CREATIVITY,"Since society and science need interdisciplinary works, the interesting topic of chaos is chosen for interdisciplinary education in physics. The educational programme contains various university-level activities such as computer simulations, chaos experiment and team projects besides ordinary teaching. According to the participants, the programme seems useful and good. In addition, we discuss some issues which can be important to interdisciplinary education in physics: for example the possible difficulties in programme design, the expertise barriers of non-major fields, the role of non-theoretical education in understanding and the project-type team activities.",3,3,Education & Educational Research; Physics
761,2018,"Boru, N",The Factors Affecting Teacher-Motivation,INTERNATIONAL JOURNAL OF INSTRUCTION,teachers; work-motivation; educational institutions for gifted students; teachers; motivation,,"The study aimed to provide an in-depth analysis of the internal and external causes that were influential towards job motivation of the teachers who were selected according to some success performance criteria for the institutions which is called science, art school where the gifted students are educated. The study was adopted as a qualitative research method and the case study was used. The data of the study were collected with semi-structured interviews. Content analysis method was used in analyzing the data. In accordance with the research aims, this study identified 2 themes and 7 sub-themes. 'Internal motivation resources' was determined as the first theme of the study. The subthemes under these themes like 'immaterial aims', `success' and 'personal characteristics'. 'External motivation sources was determined as the second theme of the study. The subthemes under these themes like 'students', 'national education policies' and 'school principals', 'colleagues'. In conclusion, participants were motivated with being successful, effective working condition, students' desire for learning, being more autonomous, equitable and consistent implementations regarding with project-based education approach.",14,19,Education & Educational Research
762,2019,"Pelletier, C; Chrysikou, V; Gibson, W; Park, S; Stevenson, F",The gift in A&E: re-framing the medical case presentation through Mauss,SOCIAL THEORY & HEALTH,Hospital ethnography; Case presentation; Discourse analysis; Ritual; Socialisation; Institutional order; Emergency department,DISCOURSE; GENRE; TALKING,"Case presentations have totemic significance in medical sociology, in which they are analysed as emblematic of medical professional culture. This article makes a case for conceptualising these exchanges in terms of Mauss' account of gift-giving, which theorises sociality in terms of obligations voluntarily incurred and reciprocated and the performative recognition of hierarchy. This contrasts with two alternatives in existing literature: the case presentation as an instance of pedagogically oriented supervision and legitimate peripheral participation; and as representative of professional discourse more generally. We make our case for re-framing the case presentation in relation to video and audio data generated within a study of an Accident and Emergency department in the UK. We conclude that Mauss' concept of community allows us to see discursive phenomena that have been overlooked, and to theorise the work of junior doctors in terms of collegiality in a hierarchically organised profession, by contrast to a defective version of the work of their superiors or the manifestation of singular professional discourse.",1,1,Biomedical Social Sciences
763,2018,"Gautre, TA; Khan, TH",An Analysis Of Question Answering System for Education Empowered By Crowdsourcing,PROCEEDINGS OF THE 2ND INTERNATIONAL CONFERENCE ON INVENTIVE SYSTEMS AND CONTROL (ICISC 2018),Crowd contests; Macrotask; Microtask; Crowd Funding; academic; education; question-answer,,"In today's world scenario, individual or organization needs sourcing model that facilitates and fulfillment services that are in demand. Modern search engines have created dramatic progress at intervals the respondent of the various users' questions about facts, like those that are also retrieved or directly inferred from associate degree info base, but many completely different queries that real users raise are lots of sophisticated. QA systems are additional and additional expected to handle such sophisticated queries and to undertake and do therefore in education. However, after they fail to remodel their wants like open queries, personal queries and therefore the ones related to specific conditions into a brief question. Thence we tend to be making a matter responsive system in a matter receive from the user and therefore the form is solved from the answers hold on in information. Our objective is to form a QA system that produces an acceptable account the received question and gift it to the speaker, to design of crowdsourcing application that can use for public needed information and create a QA system which produces a suitable answer for the received question and present it to the questioner.",1,1,Automation & Control Systems; Computer Science; Energy & Fuels; Engineering
764,2017,"Tofel-Grehl, C; Callahan, CM",STEM High Schools Teachers' Belief Regarding STEM Student Giftedness,GIFTED CHILD QUARTERLY,age; developmental stage; curriculum; qualitative methodologies; science; secondary; STEM schools,EDUCATIONAL-RESEARCH; PERCEPTIONS; EFFICACY; LEARNERS,"Teachers' beliefs about students influence many of the decisions they make in the classroom. While much work has been done exploring teachers' beliefs as they relate to the nomination of students for gifted programs, little work has yet explored the ways in which teachers' beliefs about student giftedness possibly affect instructional decisions. In this article, within the context of specialized STEM schools, the beliefs of teachers as related to their students' giftedness and ability are explored. Findings indicated that teachers believe their students to be gifted regardless of designation. Teachers articulated beliefs around the type of learning opportunities gifted students need as well as the amount of work required to stimulate these students. Specifically, teachers stated that gifted students flourish under heavy workloads with intense amounts of independent and inquiry-based learning. Students were also queried to determine their own perceptions of these instructional practices on their learning and daily lives.",10,10,Education & Educational Research; Psychology
765,2022,"Thirunavukkarasar, R; Kumar, P; Sardar, P; Sahu, NP; Harikrishna, V; Singha, KP; Shamna, N; Jacob, J; Krishna, G","Protein-sparing effect of dietary lipid: Changes in growth, nutrient utilization, digestion and IGF-I and IGFBP-I expression of Genetically Improved Farmed Tilapia (GIFT), reared in Inland Ground Saline Water",ANIMAL FEED SCIENCE AND TECHNOLOGY,Dietary lipid; Growth-related gene expression; Inland ground saline water; Nutrient utilization; Protein-sparing,NILE TILAPIA; OREOCHROMIS-NILOTICUS; BODY-COMPOSITION; GENE-EXPRESSION; BINDING PROTEIN-1; SKELETAL-MUSCLE; ENERGY-LEVELS; SILVER BARB; REQUIREMENT; PERFORMANCE,"Protein-sparing by lipid helps in conserving protein exclusively for growth with minimal inevitable protein breakage. It will subsequently reduce feed cost and nitrogenous pollutants in the habitat. In this context, an experiment of 60 days period was conducted to study the proteinsparing effect of lipid in the diet of Genetically Improved Farmed Tilapia (GIFT) (Oreochromis niloticus L) fingerlings reared in inland ground saline water (IGSW) at 10 g L-1 salinity. The experiment followed 4 x 2 factorial design with eight purified diets of four crude protein (CP) levels (30%, 35%, 40% and 45%), each with two lipid levels (6% and 10%). GIFT fingerlings of uniform size (3.00 +/- 0.01 g) were acclimatized and distributed into eight treatment groups in triplicates corresponding to each of the prepared diets and fed to satiation three times daily. The results showed significantly (p < 0.05) higher percent weight gain (WG, 693.26%), apparent net protein utilization (ANPU, 34.03), protein efficiency ratio (PER, 2.35) and improved digestive enzymes (protease, amylase, lipase) activity with lower feed conversion ratio (FCR) for diets containing 35-45% CP and 10% lipid. According to two-way ANOVA, high dietary lipid (10%) resulted highest WG% (678.95), PER (2.02), ANPU (30.67) and lowest FCR (1.31) values. Increased whole body CP (15.54%) and lipid (7.61%) contents were observed in the fish fed high lipid (10%) diets. The viscerosomatic and hepatosomatic index also increased with increasing dietary lipid. The dietary CP levels have not significantly affected the body composition except total ash content. The highest insulin like growth factor-I (IGF-I) gene expression was observed in the liver of fish fed 35% CP with 10% lipid. Results revealed that increasing dietary lipid exhibited enhanced protein-sparing effect in GIFT fingerlings. Thus, the study concludes that a diet containing 35% CP and 10% lipid is optimal for GIFT fingerlings reared in IGSW of 10 g L-1 salinity.",9,9,Agriculture
766,2022,"Zhou, Y; Zhang, YJ; Wei, S; Li, W; Li, WH; Wu, ZC; Jiang, SW; Lu, Y; Xu, QH; Chen, LB","Reduced Hypoxia Tolerance and Altered Gill Morphology at Elevated Temperatures May Limit the Survival of Tilapia (GIFT, Oreochromis niloticus) under Global Warming",FISHES,heat stress; hypoxia tolerance; gill morphology; GIFT,THERMAL TOLERANCE; OXYGEN; IDENTIFICATION; PLASTICITY; METABOLISM; RESPONSES,"Nile tilapia (Oreochromis niloticus) is one of the most important food fishes in global aquaculture. The optimal rearing temperature for Nile tilapia is 27-30 degrees C; however, in some Asian breeding areas, such as south China, water temperatures in summer frequently exceed 35 degrees C for several days. Potential effects of long-term exposure to high temperatures on the survival and metabolism of tilapia are unclear. In this study, genetically improved farmed tilapia, age six weeks, were exposed to water temperatures of 28, 32, and 36 degrees C for 15 weeks. Mean survival rates and tolerance to hypoxia were significantly reduced, and respiratory rates were increased in fish reared at 36 degrees C, compared to the 28 and 32 degrees C treatments (p < 0.05). Partial temperature compensation for routine metabolic rates was observed after 15 weeks at 36 degrees C. Gill morphology changes in the 36 degrees C treatment included curling of the lamellae and hyperplasia of the filament end, which became more pronounced after acute hypoxia (0.2 mg/L O-2). Transcriptomics demonstrated that expression of numerous genes related to aerobic metabolism was altered in the 36 degrees C treatment, including down-regulation of nine genes of the tricarboxylic acid cycle. In summary, high temperature affected tilapia gill morphology, reduced hypoxia tolerance, and inhibited aerobic metabolism, thus ultimately threatening tilapia viability and survival.",1,1,Fisheries; Marine & Freshwater Biology
767,2022,"Sarkulova, M; Khassenova, R",COSMODROME AS A ?GIFT OF MODERNITY?: REPRESENTATION OF THE THEME OF SPACE IN KAZAKH AND KYRGYZ LITERATURE,TRAMES-JOURNAL OF THE HUMANITIES AND SOCIAL SCIENCES,post-colonial discourse; literature; space; representation; cultural landscape,,"The article is devoted to the analysis of the interpretation of space themes in Soviet and post-Soviet literature. The study was done about the works of art by Kazakh and Kyrgyz authors, where the problems of space exploration are raised and where the Baikonur Cosmodrome, located on the territory of Kazakhstan, is represented as a 'gift of modernity', a legacy of the Soviet era. Post-colonial literary optics allows to take a fresh look at the works of Chinghiz Aitmatov, Olzhas Suleimenov, Zhuban Moldagaliev and other Central Asian authors.",0,0,Arts & Humanities - Other Topics; Social Sciences - Other Topics
768,2018,"Collins, AJ; Smith, W; Giannaris, EL; Orvek, E; Lazar, P; Carney, JK; Gilroy, AM; Rosen, MP",Population representation among anatomical donors and the implication for medical student education,CLINICAL ANATOMY,medical student education; anatomy; anatomical donation; dissection; population study,DEATH CERTIFICATE; TEACHING ANATOMY; DISSECTION; ACCURACY; SCIENCE; BODY; INTEGRATION; COMPLETION; KNOWLEDGE; PATHOLOGY,"Dissection provides a unique opportunity to integrate anatomical and clinical education. Commonly, cadavers are randomly assigned to courses, which may result in skewed representation of patient populations. The primary aim of this study was to determine if the anatomical donors studied by students at the University of Massachusetts Medical School (UMMS) accurately represent the disease burden of the local patient population. This cross-sectional study compared the University of Massachusetts Memorial Medical Center patient claims data and body donation data from the UMMS Anatomical Gift Program (AGP). This study examined age, race, sex, and morbidities within a 10-year timeframe in 401,258 patients and 859 anatomical donors who met inclusion criteria. An independent t test was conducted to compare the mean ages of the two populations. Chi square analysis was conducted on race, sex, and 10 morbidity categories. A Fischer's exact test was conducted for two morbidity categories with n<10. Demographic analysis showed a significant difference in age, and racial representation between the populations. No statistical difference was found regarding sex. Morbidities were separated into 22 ICD-10 categories. Twelve categories were excluded and 10 were analyzed for population comparison. Two categories were over represented and seven were under-represented in the AGP population. One category showed no significant difference between populations. Targeted selection of cadavers in anatomy courses would improve morbidity variability in the anatomy lab. In addition, AGP acceptance guidelines should be evaluated to increase disease variation among the donor population. Clin. Anat. 31:250-258, 2018. (c) 2017 Wiley Periodicals, Inc.",4,4,Anatomy & Morphology
769,2022,"Nosier, S; El-Karamani, A; Salah, R",Microeconomic analysis of private returns to education in Egypt: an instrumental variable quantile regression approach,MIDDLE EAST DEVELOPMENT JOURNAL,Returns to education; endogeneity; heterogeneous returns; instrumental variable quantile regression; wage distribution; Egypt,WAGE INEQUALITY; INVESTMENT; SCHOOL,"This study provides updated estimates for the rate of return to an additional year of schooling in Egypt. Additionally, it addresses the major issues of heterogeneous returns and endogeneity of educational attainment. Instrumental variable quantile regression along with other models is employed for that objective. The paper uses the most recent issues of the Harmonized Labor Force Survey and Egypt Labor Market Panel Survey from 2008 to 2018. The findings can be summarized as follows: the returns increase over time up to 2015 then decreases to reach 5.67% in 2018, a number that falls below the global average. Moreover, females' returns to education are higher than males; the returns are also higher in urban areas compared to rural ones providing an evidence that there exists developmental bias towards urban regions in Egypt. In line with preceding studies, the instrumental variable two-stage least squares estimates are higher than the ordinary least squares' estimates. Additionally, a confirmation of heterogeneous returns across the wage distribution is presented. The instrumental variable quantile regression estimates exhibit an increasing pattern across the levels of wages. Thus, the less able individuals gain lower marginal profits of education than do the more gifted employees. Indicating complementarity between education and unobservable characteristics and that education may aggravate wage inequality in Egypt. Furthermore, it confirms the presence of the over-education crisis. Moreover, the region-based results in terms of the ability explanation provide that education complements low ability in rural areas while it compensates it in urban ones.",1,1,Development Studies
770,2020,"Maker, CJ; Zimmerman, RH",Concept Maps as Assessments of Expertise: Understanding of the Complexity and Interrelationships of Concepts in Science,JOURNAL OF ADVANCED ACADEMICS,concept maps; life science; physical science; exceptional talent; STEM,GIFTED EDUCATION; PHYSICS INSTRUCTION; MINORITY-STUDENTS; ASSESSMENT-TOOL; INTELLIGENCE; IDENTIFICATION; ACHIEVEMENT; CREATIVITY; ABILITY; TALENT,"Concept maps were created as one of six measures to identify exceptionally talented students during the Cultivating Diverse Talent in STEM (CDTIS) project, with the goal of identifying and nurturing talents in students from groups traditionally underrepresented in special programs. New methods were compared with conventional methods to select students for an internship in the laboratories of scientists. In this article, we describe development, field testing, and implementation of the concept map assessments in life and physical science. Assessments were field tested in partner schools with high percentages of American Indian (97% to 100%) and Hispanic (83%) low-income students. Students were selected by considering their performance on all six assessments and were placed in internships along with students selected using conventional methods. Concept maps were successful: (a) students from partner schools demonstrated high levels of domain-relevant skills; (b) scores approximated a normal distribution; (c) scores of students from culturally diverse, low-income groups were very similar to the scores of students selected using conventional methods even though many of conventionally identified students had high grade point averages and came from schools in high-income areas with many educational opportunities. Students completed original research and presented posters to the university community and their local communities. Concept maps can be used alone or in combination with other assessments; their use needs to be studied with larger groups of students and in other contexts.",7,7,Education & Educational Research
771,2022,"Prado, Y; Jacob, S; Warschauer, M",Teaching computational thinking to exceptional learners: lessons from two inclusive classrooms,COMPUTER SCIENCE EDUCATION,CT; learners with exceptionalities; special education; gifted education; inclusive instruction; elementary education,,"Background and Context: Computational Thinking (CT) is a skill all students should learn. This requires using inclusive approaches to teach CT to a wide spectrum of students. However, strategies for teaching CT to students with exceptionalities are not well studied. Objective: This study draws on lessons learned in two fourth-grade classrooms - one an inclusive general education classroom including students with and without disabilities, the other an inclusive GATE classroom including students with and without giftedness - to illustrate how CT frameworks can inform inclusive CS instruction. Method: A comparative case study design integrating content analysis and first and second cycle coding of data was used to analyze teachers' instructional strategies using a CT framework. Data included transcriptions of audio-recorded classroom lessons, field notes, and conversations with teachers and students. Findings: While each teacher used different strategies, both were effective in developing students' CT. Explicit instruction provided students receiving special education services with needed structure for the complex tasks inherent to computing. Peer feedback facilitated independent computational practice opportunities for students receiving GATE. Implications: This study highlights how inclusive instructional practices can be assessed using a CT framework and leveraged to maximize learning and access to CT curricula for learners with exceptionalities.",4,4,Education & Educational Research
772,2016,"McLaughlin, CA; Broo, J; MacFadden, BJ; Moran, S",Not Looking a Gift Horse in the Mouth: Exploring the Merits of a Student-Teacher-Scientist Partnership,JOURNAL OF BIOLOGICAL EDUCATION,Student-teacher-scientist partnerships; Horse fossils; Inquiry-based instruction; Macroevolution; Phylogeny; Orthogenesis,,"One major emphasis of reform initiatives in science education is the importance of extended inquiry experiences for students through authentic collaborations with scientists. As such, unique partnerships have started to emerge between science and education in an ongoing effort to capture the interest and imaginations of students as they make sense of the world around them. One such partnership is called the student-teacher-scientist partnership, in which teachers and their students participate in and contribute to the research of scientists. This article explores a partnership between a 10th-grade biology teacher, her students, and practicing scientists who collaborated in the design, implementation and evaluation of a horse evolution unit. The primary goal of the collaborative activity was to involve teachers and students in a process of conceptual change as a means of eliminating common misconceptions implicit in horse evolution displays in museums in various parts of the country. The evidence-based lessons developed enhanced students' understanding of concepts in macroevolution but also connected the science classroom with a community of scientists whose personalization of the horse evolution unit situated biological concepts and the learning experience within the context of real-world issues.",6,6,Life Sciences & Biomedicine - Other Topics; Education & Educational Research
